Категория: Все категории

Неделя,Python: (Россия),C: (Россия),Java: (Россия),PHP: (Россия)
2021-07-04,37,47,22,12
2021-07-11,38,44,23,12
2021-07-18,37,48,22,11
2021-07-25,38,52,21,11
2021-08-01,38,45,22,12
2021-08-08,36,49,23,11
2021-08-15,38,48,23,12
2021-08-22,37,49,22,11
2021-08-29,40,49,23,11
2021-09-05,44,47,25,12
2021-09-12,45,59,26,13
2021-09-19,46,57,25,12
2021-09-26,48,58,24,12
2021-10-03,47,61,25,12
2021-10-10,51,60,25,13
2021-10-17,49,57,25,12
2021-10-24,49,64,25,13
2021-10-31,40,53,23,10
2021-11-07,41,55,23,12
2021-11-14,46,57,25,12
2021-11-21,49,59,25,12
2021-11-28,50,60,25,12
2021-12-05,47,61,26,13
2021-12-12,46,61,25,12
2021-12-19,47,63,22,12
2021-12-26,36,57,20,9
2022-01-02,45,52,22,9
2022-01-09,60,60,34,17
2022-01-16,59,59,33,16
2022-01-23,65,63,35,19
2022-01-30,63,66,35,16
2022-02-06,71,67,37,18
2022-02-13,84,80,41,20
2022-02-20,69,62,32,16
2022-02-27,65,71,31,17
2022-03-06,66,65,33,15
2022-03-13,83,78,35,21
2022-03-20,84,70,38,21
2022-03-27,100,74,38,22
2022-04-03,92,70,37,22
2022-04-10,86,70,36,22
2022-04-17,93,71,41,23
2022-04-24,89,73,35,22
2022-05-01,81,71,34,19
2022-05-08,75,65,38,18
2022-05-15,81,68,37,20
2022-05-22,77,62,37,21
2022-05-29,71,52,37,20
2022-06-05,76,51,40,21
2022-06-12,71,52,35,19
2022-06-19,73,57,39,20
2022-06-26,65,51,36,20
2022-07-03,69,52,38,19
2022-07-10,65,53,39,21
2022-07-17,64,50,39,20
2022-07-24,68,52,37,21
2022-07-31,63,51,35,19
2022-08-07,65,64,41,20
2022-08-14,65,49,37,20
2022-08-21,59,52,36,19
2022-08-28,68,51,43,20
2022-09-04,72,59,35,19
2022-09-11,77,63,35,18
2022-09-18,74,65,34,16
2022-09-25,67,62,30,15
2022-10-02,74,71,32,16
2022-10-09,77,70,32,18
2022-10-16,81,70,35,18
2022-10-23,89,71,37,18
2022-10-30,81,59,33,17
2022-11-06,85,65,34,17
2022-11-13,86,71,34,18
2022-11-20,88,66,31,16
2022-11-27,81,68,38,18
2022-12-04,80,66,32,19
2022-12-11,81,66,32,18
2022-12-18,76,68,32,18
2022-12-25,59,59,29,16
2023-01-01,47,50,23,9
2023-01-08,66,57,31,15
2023-01-15,75,63,34,18
2023-01-22,79,65,34,18
2023-01-29,81,63,34,18
2023-02-05,81,66,38,19
2023-02-12,88,61,39,19
2023-02-19,73,57,29,14
2023-02-26,85,59,34,18
2023-03-05,81,68,37,16
2023-03-12,88,74,32,17
2023-03-19,85,65,37,19
2023-03-26,81,59,34,18
2023-04-02,78,67,33,18
2023-04-09,77,64,33,17
2023-04-16,72,62,31,17
2023-04-23,72,63,31,16
2023-04-30,58,59,29,15
2023-05-07,59,53,26,14
2023-05-14,68,65,30,17
2023-05-21,67,59,31,17
2023-05-28,63,56,31,16
2023-06-04,68,53,31,17
2023-06-11,62,48,29,15
2023-06-18,61,51,29,15
2023-06-25,61,48,30,16
2023-07-02,57,49,31,15
2023-07-09,62,53,30,16
2023-07-16,64,53,29,15
2023-07-23,57,48,31,15
2023-07-30,55,53,29,16
2023-08-06,56,51,28,15
2023-08-13,56,51,28,15
2023-08-20,56,45,27,16
2023-08-27,58,53,29,15
2023-09-03,60,56,30,16
2023-09-10,68,63,31,16
2023-09-17,69,69,31,15
2023-09-24,68,61,31,15
2023-10-01,77,62,30,15
2023-10-08,72,61,32,16
2023-10-15,77,62,30,15
2023-10-22,77,63,31,15
2023-10-29,76,56,31,16
2023-11-05,72,59,31,15
2023-11-12,75,58,29,16
2023-11-19,75,61,31,16
2023-11-26,74,60,28,17
2023-12-03,71,57,28,16
2023-12-10,71,58,27,15
